,country_code,timezone,tenure,first_activity_dt,last_activity_dt,num_sessions,game_level_tries,in_game_powers,powers_successfully_applied,near_win_attempts,player_id,session_duration
45,US,GMT-04:00,2093,2017-07-28,2023-04-19,149.0,,13.0,305.0,39.0,cjgzmshkcqvfiqzqtllwvfpck,85
46,US,GMT+02:00,341,2022-05-15,2023-04-20,12.0,1.0,808.0,,,xmqdkhjddxsaqcwvbjywdejos,67
47,IT,Europe/Rome,2288,2017-01-14,2023-04-21,103.0,155.0,,,151.0,dyabudqalurwvicnowylqjmup,73
48,US,America/Los_Angeles,2290,2017-01-12,2023-04-20,305.0,,646.0,,59.0,drbgddgzuvmqiqndtvzgwnxde,72
49,IT,GMT+01:00,1026,2020-06-29,2023-01-25,15.0,195.0,57.0,47.0,,lcylowdslmgaxytihqawhzkws,67
50,US,GMT+01:00,1176,2020-01-31,2023-03-18,6.0,,,,143.0,sxruysqunzlgadifihmbgpobo,69
51,US,GMT-06:00,59,2023-02-21,2023-02-21,,310.0,,,97.0,pztkperwzpoluacwmzzmejckx,86
52,US,GMT+05:30,19,2023-04-02,2023-04-03,1.0,13.0,0.0,0.0,0.0,xcnepqxhqeetqtkjhankgossd,72
53,GB,GMT+00:00,1997,2017-11-01,2023-03-12,34.0,159.0,,17.0,,ecjiwxpowvzqxduvefgnawecv,68
54,US,GMT-06:00,26,2023-03-26,2023-04-19,41.0,384.0,149.0,73.0,55.0,uzcqnyldqhjpijzlbdfxfebmm,58
55,US,GMT+05:30,381,2022-04-05,2023-03-06,60.0,3583.0,42.0,,,ubsjqbwxmxfzzmmeborcxeoox,89
56,US,GMT-07:00,83,2023-01-28,2023-01-28,39.0,,186.0,29.0,,rqwrlvrseuzvqsytwtbmylhqq,95
57,US,GMT-05:00,3,2023-04-18,2023-04-21,3.0,11.0,10.0,4.0,2.0,mlqpnndjjagajpchjyznwdfcx,63
58,GB,Asia/Kolkata,2289,2017-01-13,2023-04-21,142.0,154.0,,,,cslewodvwjqgbucmiiacxapul,80
59,US,GMT+07:00,42,2023-03-10,2023-03-10,210.0,,,,70.0,xstdxcsreqielnmfxxcwyctyz,65
60,US,GMT-08:00,66,2023-02-14,2023-02-25,2.0,3.0,3.0,1.0,0.0,qpeeizjoomigqhcrixddiqzjm,64
61,GB,GMT+05:30,335,2022-05-21,2023-04-14,,10.0,174.0,178.0,94.0,rilklwwizfpoekoxuckpfklfy,69
62,US,America/Bogota,1217,2019-12-21,2023-04-19,,8.0,,,,nvgdmxtxhihrkwfgktphfmjjx,90
63,FR,GMT+02:00,34,2023-03-18,2023-04-19,38.0,77.0,13.0,10.0,2.0,qrfgdxuglxpaafokboxywcuxp,66
64,US,GMT-05:00,93,2023-01-18,2023-03-21,5.0,28.0,6.0,6.0,3.0,vnfktbxfsvihvjmluufymstef,72
65,US,GMT+06:30,3,2023-04-18,2023-04-18,,8.0,,,,xtxxknmsgbhktkppfjwkplqng,94
66,FR,GMT+01:00,2289,2017-01-13,2023-02-16,36.0,,,107.0,5.0,billvuapaoatiulgjsunkklom,76
67,DE,GMT+01:00,39,2023-03-13,2023-03-13,83.0,177.0,565.0,14.0,56.0,idfkjqloiutdgpqpnzzfdrswf,68
68,US,GMT+05:30,89,2023-01-22,2023-01-22,32.0,135.0,,,,dnztxnbbtoypnujkapvufolbl,69
69,US,GMT+05:30,11,2023-04-10,2023-04-10,303.0,39.0,,159.0,107.0,ambpqoorltiakurfitwriktox,79
70,ES,GMT+02:00,2367,2016-10-27,2023-04-15,,,24.0,20.0,,ploocwbhttzwybzleziivplzl,78
71,FR,GMT+02:00,491,2021-12-16,2023-04-03,,65.0,61.0,,,svzwckuttgibfrjvnzgnwakci,70
72,US,GMT-06:00,67,2023-02-13,2023-04-09,6.0,42.0,21.0,11.0,9.0,nnyhvyxmnfrlzvrucwhkhkxih,79
73,US,GMT-04:00,16,2023-04-05,2023-04-05,,134.0,15.0,,,gowyalwjyitglnjokhvwbsvba,71
74,IT,GMT+02:00,101,2023-01-10,2023-04-20,8.0,275.0,,70.0,132.0,lobkpzujnvrgqeeabagupebsc,64
75,FR,GMT+00:00,170,2022-11-02,2023-04-03,,515.0,64.0,412.0,36.0,xghmdxovwbyazudkoqrziusbs,76
76,US,GMT-03:00,88,2023-01-23,2023-01-27,147.0,,41.0,17.0,,odawiioibppawjuchammvdskd,87
77,US,America/Chicago,185,2022-10-18,2023-03-15,89.0,143.0,,,36.0,pruqpoorfvzuzqlmmanhxrvik,81
78,GB,GMT+00:00,33,2023-03-19,2023-03-19,,210.0,70.0,73.0,,djkwuvqryievehaoqcpelugut,88
79,US,GMT-05:00,2,2023-04-19,2023-04-19,2.0,21.0,3.0,2.0,0.0,eqgjazoukmftycdcyehengpau,58
80,US,GMT-05:00,169,2022-11-03,2023-04-04,,1104.0,,176.0,28.0,ljukstfqaghmeqoixcuxwfvsk,68
81,GB,GMT+05:00,51,2023-03-01,2023-04-12,2.0,12.0,0.0,0.0,0.0,gxbimnyvwtmhlojqkrjnxqmbb,94
82,GB,GMT+00:00,763,2021-03-19,2023-02-22,199.0,,,,727.0,thneoerhkirxrcmjyrblfqasl,56
83,US,GMT-06:00,1830,2018-04-17,2023-01-31,,234.0,17.0,,,mbmabwtwcnzxzurektdtdrkrl,74
84,US,GMT-05:00,2285,2017-01-17,2023-04-19,,1213.0,106.0,,141.0,cqpyhytkckmvmvwvggxkacsyd,61
85,GB,GMT+02:00,65,2023-02-15,2023-02-15,36.0,,125.0,46.0,,lncxcngtbiymsecmjckwppifs,71
86,GB,GMT+05:00,6,2023-04-15,2023-04-21,11.0,84.0,19.0,6.0,10.0,fribsrfxuludgmduwgsuegdjw,102
87,US,America/Mexico_City,695,2021-05-26,2023-04-21,349.0,,77.0,73.0,59.0,jdkbpmfukebubcyffipkybpnu,85
88,US,GMT-03:00,2186,2017-04-26,2023-03-11,59.0,,,90.0,206.0,jwnfeybxnrrtqgmpvdyqtkbop,78
89,US,GMT-05:00,2276,2017-01-26,2023-04-21,,72.0,,74.0,12.0,hjuywvnbdrwuybsaenhsmlqwr,81
90,IT,GMT+02:00,1135,2020-03-12,2023-04-11,199.0,,,,15.0,cmtnqlbfsiixedptgqcvjabpg,75
91,US,GMT-06:00,41,2023-03-11,2023-03-18,1.0,101.0,53.0,647.0,,ghkhuyuxjsjyepohdckkydptl,67
92,GB,GMT+00:00,67,2023-02-13,2023-02-13,,,,122.0,,mevusqjxdvxdswiuzmcfxeoew,76
93,US,GMT-04:00,2216,2017-03-27,2023-04-19,281.0,24.0,7.0,32.0,,aruffhuffetxaowrwnrhsbhcb,73
94,GB,Europe/London,213,2022-09-20,2023-03-31,,35.0,104.0,154.0,161.0,biceblzpwgncgyyxndxwdizjl,74
95,US,America/Guatemala,1983,2017-11-15,2023-02-20,,147.0,,147.0,,xppvuaunycykrmglpqdmabgjs,69
96,FR,GMT+00:00,24,2023-03-28,2023-03-28,89.0,,159.0,22.0,46.0,qbhrpeufpweaswicyyoxxjarh,79
97,US,America/Chicago,2290,2017-01-12,2023-04-03,,,,162.0,352.0,bqqzdnmrmgmoahaedhehwepda,86
98,FR,GMT+02:00,496,2021-12-11,2023-04-21,,12.0,106.0,,,umluszsbznaqeyohgjyoeqouu,83
99,FR,Europe/Paris,2134,2017-06-17,2023-04-21,14.0,,,14.0,138.0,ekbvjxuyaaqbfsglpunfbkmvj,69
100,GB,GMT+08:00,78,2023-02-02,2023-03-27,3.0,5.0,0.0,0.0,0.0,ybvpuewveeziulhsrrqlfuqcf,74
101,US,GMT-05:00,79,2023-02-01,2023-02-01,,108.0,155.0,,31.0,abehpstikfvftmvqphnbwdjkz,70
102,US,GMT-08:00,1112,2020-04-04,2023-01-31,,,,80.0,,afjbpqcllmnmjqtzjvzfbaeaz,75
103,US,GMT+02:00,327,2022-05-29,2023-04-16,116.0,,168.0,,33.0,hznhhlalamulohzjiutsccefh,76
104,US,GMT-04:00,67,2023-02-13,2023-04-12,6.0,35.0,9.0,5.0,5.0,aerflrrkqblfqlqeulrkynnks,73
105,US,GMT-05:00,2236,2017-03-07,2023-04-21,,,,81.0,33.0,brkkqlguljcqahtzlliownnuv,77
106,US,GMT+05:30,1084,2020-05-02,2023-03-19,,17.0,,,43.0,voomqmeyvmfjyznfuroitbqho,76
107,FR,Europe/Paris,867,2020-12-05,2023-04-14,,,26.0,,,wosrnnqkcdgfigxvukzpmffon,70
108,US,America/Chicago,2129,2017-06-22,2023-04-21,,,,183.0,56.0,osiztlgsvqlfohmzoxovtgnaj,87
109,GB,GMT+00:00,1942,2017-12-26,2023-03-12,,,,,291.0,vazqcryjxdozoczglfnnqivcz,74
110,US,GMT-04:00,1337,2019-08-23,2023-04-21,3.0,223.0,,,,jaduxpxxhecwvtjcajnnrjirm,61
111,GB,Europe/London,100,2023-01-11,2023-04-21,47.0,203.0,293.0,98.0,39.0,uygwdgpcydtdfkfkkohiqkmpr,70
112,US,GMT-06:00,23,2023-03-29,2023-04-21,36.0,159.0,106.0,36.0,24.0,oqwcqsvswtgagizihkamptjee,66
113,ES,Europe/Madrid,1754,2018-07-02,2023-03-26,,,,5.0,,ugredhzqdizxaniflklzkbftc,68
114,US,GMT-06:00,738,2021-04-13,2023-02-21,,34.0,243.0,,327.0,mrsuhkpolersygdaxhvleegrb,88
115,US,GMT-05:00,55,2023-02-25,2023-02-25,69.0,,,,110.0,vxeghixehoogcmblwesunduqb,68
116,FR,Europe/Paris,2276,2017-01-26,2023-04-04,199.0,14.0,,34.0,,xyimzohaysyzxfmbbtupbdior,71
117,DE,GMT+02:00,26,2023-03-26,2023-03-26,,,1070.0,,,vkfbikomayyhgcuyslfiazszv,73
118,DE,GMT+02:00,28,2023-03-24,2023-04-21,37.0,422.0,462.0,190.0,5.0,azhqbdlpxseftlbuzoxnuujdn,79
119,DE,GMT+01:00,86,2023-01-25,2023-02-09,,,,,,fkneimckiopnzdurdtneeqllt,92
120,US,America/Denver,49,2023-03-03,2023-03-05,2.0,1.0,2.0,1.0,0.0,bxhfmgoidrgqyzwgsemhhtpmk,75
121,US,GMT-04:00,76,2023-02-04,2023-04-06,,,,,,pnlsrqtqebmzipobmodghurqw,95
122,US,GMT+07:00,11,2023-04-10,2023-04-10,5.0,702.0,61.0,,,dytvaoogdnkposdictkzbjsmq,60
123,US,GMT+07:00,11,2023-04-10,2023-04-10,,,,145.0,,iotxubqayznwzcxjzowhxmsht,77
124,US,GMT+07:00,11,2023-04-10,2023-04-11,2.0,16.0,0.0,0.0,1.0,ealysfkqzyesbbqrnmnanbsge,69
125,US,GMT+07:00,69,2023-02-11,2023-02-11,199.0,42.0,241.0,93.0,126.0,sjiyfmuggkenbvdvesqxookuo,76
126,US,GMT+07:00,69,2023-02-11,2023-02-11,,,,,206.0,bietumvqsjueyembygslpyvac,69
127,US,GMT+07:00,69,2023-02-11,2023-04-10,1.0,1.0,0.0,0.0,0.0,kupmwvggdjhqyzhkxlbuhcwox,66
128,US,GMT+07:00,69,2023-02-11,2023-02-11,,,301.0,534.0,,uqoknlanqnurwfddprqmnrxcd,98
129,US,GMT+07:00,75,2023-02-05,2023-02-05,,,,35.0,55.0,mhmazlysavtxkjrbmibjxthyl,71
130,US,GMT+07:00,75,2023-02-05,2023-02-05,1.0,101.0,8.0,31.0,7.0,dlxpjjcqpqemfpdhkuayiuwxz,66
131,US,GMT+07:00,75,2023-02-05,2023-02-05,52.0,755.0,40.0,80.0,62.0,pyqififlbvelrrxtthkidbzea,90
132,US,GMT+07:00,75,2023-02-05,2023-02-05,,626.0,,177.0,,gzlwgcamuyioqfnjcnecmqvyd,81
133,US,GMT+07:00,75,2023-02-05,2023-02-05,32.0,251.0,56.0,,,xudhxvwmeitihbeolrsearkdw,63
134,US,GMT+07:00,75,2023-02-05,2023-02-05,,,,51.0,,mmkmoubgzjmvldzekvnipzxgr,66
135,US,GMT+07:00,77,2023-02-03,2023-02-03,,,,95.0,107.0,egtufsmgdljfgfjpldtmvrmjs,81
136,US,GMT+07:00,77,2023-02-03,2023-02-03,52.0,550.0,,,,yzxupfbcrzigzwdwjsecpsqbj,75
137,US,GMT+07:00,77,2023-02-03,2023-02-03,27.0,7.0,19.0,,,zgawahbgdifyylrjytflodixh,77
138,US,GMT+07:00,77,2023-02-03,2023-02-03,,365.0,,,36.0,pzogpzsanaawdwkpqacavymiy,61
139,US,GMT+07:00,77,2023-02-03,2023-02-03,59.0,91.0,137.0,,220.0,aszqhdomyicjrfwnaucgifdyi,76
140,US,GMT+07:00,77,2023-02-03,2023-02-03,,,,30.0,65.0,xxqwmlnmlrszbgbvmpykckzuj,69
141,US,GMT+07:00,77,2023-02-03,2023-02-04,,,,,,aotgijaehshaefztedomewrwc,62
142,US,GMT+07:00,77,2023-02-03,2023-02-03,,,148.0,38.0,,ljpebxtoetcpnanjgheeaxnmd,83
143,US,GMT+07:00,77,2023-02-03,2023-02-03,,,,,66.0,ppdvbfwbrvjlrtzmmudxopljc,82
144,US,GMT+07:00,77,2023-02-03,2023-02-03,,,33.0,,15.0,owrcpqvcfduykrhmlpnvcqhqi,79
145,US,GMT+07:00,78,2023-02-02,2023-02-02,,,,15.0,97.0,radzotaorlrtsfboyrpiuxqrs,61
146,US,GMT+07:00,78,2023-02-02,2023-02-02,19.0,616.0,46.0,,,ohrhnhkeacuaousrhcxuhzrer,68
147,US,GMT+07:00,78,2023-02-02,2023-02-02,1.0,,1404.0,,,nhnmbkxthghjlvngnptzqxban,62
148,US,GMT+07:00,78,2023-02-02,2023-02-02,26.0,,160.0,159.0,,ixvqmgeiyawqlbhaztqwofxza,73
149,US,GMT+07:00,78,2023-02-02,2023-02-02,,,,8.0,,jqrgtfedxwqkfcbsoxwesaigi,88
150,US,GMT+07:00,78,2023-02-02,2023-02-02,51.0,,,,,muiqxtrvprhkpmaxbmmfwojrg,89
151,US,GMT+07:00,78,2023-02-02,2023-02-02,,546.0,330.0,,120.0,qeoyrovcmvrxasclzowmctluw,74
152,US,GMT+07:00,78,2023-02-02,2023-02-02,30.0,203.0,77.0,154.0,,wvqavbwaorpusmmdpxwhnlynq,64
153,US,GMT+07:00,78,2023-02-02,2023-02-02,20.0,49.0,,534.0,34.0,bjlmdjgoqtevawltpbthgvuky,78
154,US,GMT+07:00,81,2023-01-30,2023-01-30,,402.0,,8.0,43.0,fjjlqbauamsikpiewoqbpdpij,92
155,US,GMT+07:00,81,2023-01-30,2023-01-30,224.0,550.0,31.0,,,axslpagvdtozjlhtmoqsjtlrc,69
156,US,GMT+07:00,81,2023-01-30,2023-02-02,,38.0,,,178.0,jrnavjmrhpnhdioawpxiewnzg,73
157,US,GMT+07:00,81,2023-01-30,2023-01-30,,,,,,etylspbsnwaqttxwuboltwgst,86
158,US,GMT+07:00,81,2023-01-30,2023-01-30,,88.0,1.0,90.0,,mnkypjylzhnifxtsstnfjhrcs,70
159,US,GMT+07:00,82,2023-01-29,2023-01-29,,,67.0,190.0,69.0,azdebqagjrukoyeuevcmbvzin,80
160,US,GMT+07:00,82,2023-01-29,2023-01-29,,,,61.0,37.0,vbgmrqvxjteakzrqvhjwuewpa,69
161,US,GMT+07:00,82,2023-01-29,2023-01-29,,,,,,fitzvzzrraktbskkyghkmmshl,74
162,US,GMT+07:00,82,2023-01-29,2023-01-29,259.0,,89.0,,44.0,mzdkvcbqngfukbqlbzqhmjjhx,88
163,US,GMT+07:00,82,2023-01-29,2023-01-29,,30.0,253.0,,131.0,haiudybrtyfcknxsurlrfvlzp,80
164,US,GMT+07:00,82,2023-01-29,2023-01-29,303.0,,30.0,,,hqspxyshokswnuyueagtfudil,76
165,US,GMT+07:00,82,2023-01-29,2023-01-29,32.0,327.0,69.0,,51.0,vzfvtqxvuwjjzzkxqanzoewyx,73
166,US,GMT+07:00,82,2023-01-29,2023-01-29,,,112.0,,54.0,ytghvmdlpzmawejpmsutyrmns,82
167,US,GMT+07:00,82,2023-01-29,2023-01-29,53.0,,,,91.0,skstuwyigspmlqfmaucjtgiev,71
168,US,GMT+07:00,82,2023-01-29,2023-01-29,,,60.0,70.0,,hxetilsfbcjifocbuhkhnwlmi,72
169,US,GMT+07:00,83,2023-01-28,2023-01-28,98.0,,,128.0,17.0,ywtltcqwqwbllfelykoeszxhx,78
170,US,GMT+07:00,83,2023-01-28,2023-01-28,18.0,150.0,20.0,170.0,123.0,jlbhuqwllmcxtraooebeyirgb,76
171,US,GMT+07:00,83,2023-01-28,2023-01-29,,,,64.0,127.0,btjzqvmugigudjvdllwjuvmah,69
172,US,GMT+07:00,101,2023-01-10,2023-01-28,,,117.0,,,mlxkspldlodwqtouvewqiqvli,92
173,US,GMT+07:00,101,2023-01-10,2023-01-28,,,,18.0,,ulyvzmqxufprhzskhdkmgrqpy,88
174,ES,GMT+01:00,39,2023-03-13,2023-03-14,3.0,13.0,3.0,2.0,6.0,osjmfepqrgmdwhedmlzbdtivx,78
175,US,GMT-04:00,15,2023-04-06,2023-04-06,47.0,504.0,294.0,80.0,,fzhsbcqxqagbvlyakxgcnbjun,77
176,US,GMT-04:00,17,2023-04-04,2023-04-05,,,,,28.0,xzvmyugpsqmfbxpqnrrswzhwx,79
177,ES,GMT+01:00,148,2022-11-24,2023-03-05,31.0,1764.0,,,8.0,bpsdxsxznzitizxyyrxdawurm,82
178,US,GMT-05:00,30,2023-03-22,2023-03-24,2.0,19.0,10.0,3.0,6.0,rhdelwjxzlzycxbqkgwyezmth,64
179,DE,GMT+02:00,1106,2020-04-10,2023-03-27,179.0,9.0,,48.0,,qvtdlbtxkrmijojogwatfeqli,64
180,US,America/Los_Angeles,1802,2018-05-15,2023-01-24,,223.0,,159.0,32.0,facxgkwvckxozjhsrimauzdsv,85
181,US,America/Bogota,86,2023-01-25,2023-01-25,,45.0,1.0,104.0,204.0,pokyzjeyokvbhxnrvbflxbnfp,58
182,US,America/Argentina/Buenos_Aires,2140,2017-06-11,2023-03-03,303.0,,34.0,,315.0,dklqvrbksvgzeadpxftgskdch,82
183,ES,GMT+02:00,1495,2019-03-18,2023-04-21,,306.0,,,,ydtoamupayaslckvurjbvizlq,70
184,US,America/Argentina/Buenos_Aires,932,2020-10-01,2023-04-09,103.0,114.0,,8.0,,fwdloeqbuvskoqzeshuypkilp,84
185,ES,GMT-03:00,22,2023-03-30,2023-03-30,,155.0,,,,mxgmfmwkupgybxhkqamtzlgyv,72
186,ES,GMT-03:00,60,2023-02-20,2023-02-21,1.0,14.0,1.0,0.0,3.0,bscjibewewlypughuuvlerwde,78
187,ES,GMT-03:00,64,2023-02-16,2023-02-16,,,,72.0,,mouvweozmwttwsuuxtisnmuuo,79
188,ES,GMT-03:00,64,2023-02-16,2023-02-16,,,262.0,36.0,,ebjsctipnhzbgralsadadqhsj,81
189,ES,GMT-03:00,81,2023-01-30,2023-01-30,30.0,,,,14.0,pgwymblbbmgijwojqosqjcthx,65
190,ES,GMT-03:00,83,2023-01-28,2023-01-28,,29.0,,,,zxidnhffuikugjsdynqynffju,73
191,ES,GMT-03:00,85,2023-01-26,2023-01-26,,,85.0,,206.0,lvthmtyiswkwkvfnhzdfnnkvj,81
192,ES,GMT-03:00,89,2023-01-22,2023-01-22,,19.0,96.0,69.0,,whismivminbrvcghfposmymxk,66
193,DE,GMT+02:00,1663,2018-10-01,2023-04-21,199.0,,,,,xugrfgljjkqixgycdnnffqrtr,75
194,US,America/New_York,2290,2017-01-12,2023-04-17,162.0,179.0,155.0,7.0,127.0,cplzgvgcfwzzxhoeqanwzvcvu,66
195,GB,GMT+00:00,1748,2018-07-08,2023-03-05,21.0,,38.0,,,dwusyzzztryvqlhtxjycvuado,80
196,FR,GMT+01:00,90,2023-01-21,2023-01-21,34.0,,192.0,20.0,,cbcttfxyeefnpkxupigdgzrwt,65
197,US,GMT-06:00,1696,2018-08-29,2023-01-25,,86.0,,,,yscytklezivoekacqiinwpeoz,73
198,FR,Europe/Paris,1995,2017-11-03,2023-02-26,,,,193.0,,zxsnvupeuwyqexjfabzmptjjx,60
199,DE,Europe/Berlin,1517,2019-02-24,2023-03-21,44.0,,121.0,,,jjyhrfihpxuncssewuitmvisc,77
200,US,America/Mexico_City,349,2022-05-07,2023-04-15,,,,5.0,61.0,dfnmunjkexyjbnwkxskakzpil,82
201,US,GMT-05:00,80,2023-01-31,2023-02-02,,,,,94.0,tvicyuxilzrciwbihxauompsb,63
202,US,GMT-05:00,22,2023-03-30,2023-04-08,1.0,5.0,0.0,0.0,0.0,vexqkvlgfjjboywmpjmcjutvi,70
203,US,GMT-06:00,26,2023-03-26,2023-03-26,,9.0,375.0,31.0,,amdzbqnelhndjoipellpcfmqm,54
204,FR,GMT+01:00,267,2022-07-28,2023-04-17,65.0,321.0,,52.0,,wfftbchlgoyaplvaopkbdvbnf,56
205,US,GMT-06:00,17,2023-04-04,2023-04-04,,3.0,641.0,,77.0,fmppqfoztroykriddesfpivqv,78
206,US,GMT-04:00,92,2023-01-19,2023-04-02,2.0,11.0,0.0,0.0,5.0,uplvpykiyzrjemgemujmaknmz,69
207,FR,Europe/Paris,2152,2017-05-30,2023-03-13,32.0,,,,3.0,inkcemqzxuzhfsjtuzrydvdua,70
208,US,GMT-06:00,28,2023-03-24,2023-03-24,,234.0,,258.0,,tjkwbarpmzzqtnjmmqvvhxpsd,82
209,US,GMT-04:00,0,2023-04-21,2023-04-21,,336.0,,,,wwsrkmzrqjlqgslgxjbsvnern,68
210,IT,GMT+02:00,19,2023-04-02,2023-04-02,,3583.0,4.0,,,thqxjbeeltimbctejasycmtco,86
211,GB,GMT+00:00,1010,2020-07-15,2023-02-09,,,,78.0,24.0,lkbzxewkmdclxhbbztqcudmeb,63
